"UTC","Year","Mo","Da","Ho","Mi","Se","LatDef","LonDef","MwDef",""
"1988-4-26T1:55:34.09","1988","04","26","01","55","34","42.350","16.541","4.17",""
"1988-4-26T2:31:27.74","1988","04","26","02","31","28","42.328","16.514","4.28",""
"1988-4-26T19:17:56.73","1988","04","26","19","17","57","42.327","16.607","4.42",""
"1988-4-27T17:58:11.8","1988","04","27","17","58","12","42.344","16.562","4.16",""
"1988-4-30T6:15:57.93","1988","04","30","06","15","58","41.772","12.612","3.55",""
"1988-6-12T2:42:41.63","1988","06","12","02","42","42","35.997","13.070","4.24",""
"1988-6-12T20:9:59.6","1988","06","12","20","09","60","46.404","12.598","4.16",""
"1988-6-19T1:44:23","1988","06","19","01","44","23","37.838","15.095","3.50",""
"1988-8-4T3:57:26.43","1988","08","04","03","57","26","39.360","14.213","4.26",""
"1988-8-7T9:58:36.94","1988","08","07","09","58","37","42.524","11.748","3.46",""
"1988-8-16T7:35:2.59","1988","08","16","07","35","03","44.475","9.854","4.08",""
"1988-8-24T23:5:57","1988","08","24","23","05","57","42.024","15.505","4.11",""
"1988-10-28T18:48:45","1988","10","28","18","48","45","37.807","15.079","3.62",""
"1988-11-21T2:19:54.99","1988","11","21","02","19","55","37.604","15.080","2.80",""
"1988-12-19T2:22:12.31","1988","12","19","02","22","12","37.695","15.106","3.38",""
"1989-1-3T16:52:19.46","1989","01","03","16","52","19","35.596","11.605","5.09",""
"1989-1-6T5:26:58.48","1989","01","06","05","26","58","35.595","11.662","5.13",""
"1989-1-9T10:2:29.73","1989","01","09","10","02","30","35.646","11.616","4.95",""
"1989-1-29T7:30:32.89","1989","01","29","07","30","33","37.705","15.165","3.40",""
"1989-2-13T0:35:11","1989","02","13","00","35","11","44.820","14.750","4.19",""
"1989-2-16T19:27:3.62","1989","02","16","19","27","04","37.719","15.149","2.92",""
"1989-3-1T5:18:23.92","1989","03","01","05","18","24","35.591","11.699","4.36",""
"1989-3-11T21:5:0","1989","03","11","21","05","00","41.762","15.642","4.34",""
"1989-3-27T6:8:35.92","1989","03","27","06","08","36","38.875","16.467","3.45",""
"1989-4-23T23:32:20.51","1989","04","23","23","32","21","41.716","12.702","3.64",""
"1989-5-29T11:19:10.75","1989","05","29","11","19","11","40.542","15.733","4.34",""
"1989-6-28T21:36:30.45","1989","06","28","21","36","30","37.693","15.101","2.80",""
"1989-7-3T14:54:5.58","1989","07","03","14","54","06","40.530","12.794","4.22",""
"1989-7-9T3:54:37.25","1989","07","09","03","54","37","43.670","12.209","4.09",""
"1989-7-27T15:8:51","1989","07","27","15","08","51","37.725","15.117","3.15",""
